profile_id,region_code,state_code,coverage_limit,num_vehicles,num_drivers,prior_claim_count,youth_driver_flag,multi_policy_flag,home_value_band,credit_score_band,urban_rural_flag,carrier,risk_score,simulated_price
24,Region 5,S11,2M,4,3,0,0,0,Premium,Medium,Urban,Carrier_A,1.255,896.77
54,Region 5,S09,5M,2,1,0,0,0,High Net Worth,Low,Urban,Carrier_A,1.055,1506.16
71,Region 2,S04,1M,2,1,0,0,1,Entry,Medium,Suburban,Carrier_A,1.0,476.22
88,Region 3,S06,1M,3,2,1,0,1,Standard,Medium,Urban,Carrier_A,1.35,543.32
98,Region 1,S02,5M,7,5,0,0,1,Entry,Low,Suburban,Carrier_A,1.455,1236.6
102,Region 5,S09,5M,4,3,1,0,0,Standard,High,Suburban,Carrier_A,1.505,1269.26
103,Region 2,S04,1M,2,2,0,0,1,Entry,Medium,Urban,Carrier_A,1.105,519.93
107,Region 3,S06,2M,3,2,0,1,0,Premium,Medium,Rural,Carrier_A,1.315,699.12
115,Region 2,S03,1M,3,1,0,0,1,Entry,High,Urban,Carrier_A,1.0550000000000002,463.1
116,Region 5,S11,5M,1,1,0,0,0,Standard,Low,Suburban,Carrier_A,1.0,1158.19
125,Region 1,S01,1M,3,3,0,1,1,Standard,Low,Suburban,Carrier_A,1.3050000000000002,563.89
128,Region 2,S03,2M,4,3,0,0,1,Entry,High,Urban,Carrier_A,1.2600000000000002,658.06
135,Region 4,S08,1M,1,1,0,0,0,Standard,Medium,Suburban,Carrier_A,1.0,466.75
136,Region 1,S01,1M,2,2,0,0,1,Entry,Medium,Suburban,Carrier_A,1.045,444.15
150,Region 1,S01,2M,4,2,0,0,1,Entry,High,Suburban,Carrier_A,1.155,565.05
152,Region 5,S11,2M,2,1,0,0,1,Entry,Medium,Suburban,Carrier_A,1.0,622.46
159,Region 5,S09,5M,4,4,1,0,1,Entry,Medium,Urban,Carrier_A,1.495,1320.21
162,Region 5,S11,5M,7,5,0,0,1,Premium,Medium,Suburban,Carrier_A,1.455,1568.2
183,Region 4,S07,2M,2,1,0,0,0,Standard,Medium,Urban,Carrier_A,1.055,631.16
187,Region 3,S05,1M,3,3,0,0,0,Entry,Medium,Suburban,Carrier_A,1.2000000000000002,512.42
196,Region 2,S03,5M,4,3,0,0,0,Entry,High,Urban,Carrier_A,1.255,1015.14
220,Region 3,S05,2M,6,6,0,0,1,Standard,Medium,Suburban,Carrier_A,1.445,821.67
227,Region 1,S01,1M,3,2,1,0,0,Standard,Medium,Urban,Carrier_A,1.405,565.77
251,Region 4,S08,1M,8,5,1,0,0,High Net Worth,Medium,Urban,Carrier_A,1.815,819.95
254,Region 2,S04,1M,2,2,0,0,1,Standard,High,Rural,Carrier_A,1.045,476.01
266,Region 2,S03,2M,3,3,0,0,1,Entry,Low,Rural,Carrier_A,1.1450000000000002,645.64
268,Region 2,S03,5M,5,3,1,0,0,Standard,High,Rural,Carrier_A,1.56,1179.27
271,Region 1,S01,5M,3,3,0,0,1,Standard,High,Suburban,Carrier_A,1.1450000000000002,911.85
275,Region 5,S09,1M,5,3,1,0,0,Standard,Medium,Urban,Carrier_A,1.56,662.84
279,Region 5,S11,2M,5,3,1,1,1,Standard,Medium,Urban,Carrier_A,1.665,1013.4
296,Region 5,S11,1M,3,2,0,0,1,Entry,High,Urban,Carrier_A,1.1,508.84
301,Region 5,S10,1M,6,6,0,0,0,Premium,Medium,Suburban,Carrier_A,1.5,652.0
314,Region 3,S05,1M,2,2,1,0,1,Entry,High,Suburban,Carrier_A,1.295,513.72
343,Region 5,S10,5M,2,1,0,0,0,Premium,High,Urban,Carrier_A,1.055,1098.73
348,Region 2,S04,5M,4,3,0,0,1,Standard,Medium,Urban,Carrier_A,1.2000000000000002,1240.44
366,Region 3,S06,1M,3,2,0,0,0,Standard,High,Suburban,Carrier_A,1.155,459.96
407,Region 2,S04,1M,5,3,0,0,0,High Net Worth,Medium,Urban,Carrier_A,1.31,723.04
424,Region 1,S01,2M,6,5,0,1,1,High Net Worth,High,Suburban,Carrier_A,1.5599999999999998,880.95
442,Region 2,S03,2M,3,2,0,0,0,Premium,Medium,Suburban,Carrier_A,1.155,723.78
