profile_id,region_code,state_code,coverage_limit,num_vehicles,num_drivers,household_size,youth_driver_flag,senior_driver_flag,prior_claim_count,multi_policy_flag,home_value_band,credit_score_band,urban_rural_flag
24,Region 5,S11,2M,4,3,4,0,0,0,0,Premium,Medium,Urban
54,Region 5,S09,5M,2,1,2,0,0,0,0,High Net Worth,Low,Urban
71,Region 2,S04,1M,2,1,1,0,0,0,1,Entry,Medium,Suburban
88,Region 3,S06,1M,3,2,2,0,0,1,1,Standard,Medium,Urban
98,Region 1,S02,5M,7,5,5,0,0,0,1,Entry,Low,Suburban
102,Region 5,S09,5M,4,3,3,0,0,1,0,Standard,High,Suburban
103,Region 2,S04,1M,2,2,2,0,1,0,1,Entry,Medium,Urban
107,Region 3,S06,2M,3,2,3,1,0,0,0,Premium,Medium,Rural
115,Region 2,S03,1M,3,1,1,0,0,0,1,Entry,High,Urban
116,Region 5,S11,5M,1,1,1,0,0,0,0,Standard,Low,Suburban
125,Region 1,S01,1M,3,3,3,1,0,0,1,Standard,Low,Suburban
128,Region 2,S03,2M,4,3,3,0,1,0,1,Entry,High,Urban
135,Region 4,S08,1M,1,1,1,0,0,0,0,Standard,Medium,Suburban
136,Region 1,S01,1M,2,2,2,0,0,0,1,Entry,Medium,Suburban
150,Region 1,S01,2M,4,2,3,0,0,0,1,Entry,High,Suburban
152,Region 5,S11,2M,2,1,2,0,0,0,1,Entry,Medium,Suburban
159,Region 5,S09,5M,4,4,4,0,0,1,1,Entry,Medium,Urban
162,Region 5,S11,5M,7,5,5,0,0,0,1,Premium,Medium,Suburban
183,Region 4,S07,2M,2,1,2,0,0,0,0,Standard,Medium,Urban
187,Region 3,S05,1M,3,3,3,0,0,0,0,Entry,Medium,Suburban
196,Region 2,S03,5M,4,3,3,0,0,0,0,Entry,High,Urban
220,Region 3,S05,2M,6,6,6,0,0,0,1,Standard,Medium,Suburban
227,Region 1,S01,1M,3,2,3,0,0,1,0,Standard,Medium,Urban
251,Region 4,S08,1M,8,5,5,0,0,1,0,High Net Worth,Medium,Urban
254,Region 2,S04,1M,2,2,2,0,0,0,1,Standard,High,Rural
266,Region 2,S03,2M,3,3,3,0,0,0,1,Entry,Low,Rural
268,Region 2,S03,5M,5,3,3,0,0,1,0,Standard,High,Rural
271,Region 1,S01,5M,3,3,3,0,0,0,1,Standard,High,Suburban
275,Region 5,S09,1M,5,3,3,0,0,1,0,Standard,Medium,Urban
279,Region 5,S11,2M,5,3,3,1,0,1,1,Standard,Medium,Urban
296,Region 5,S11,1M,3,2,2,0,0,0,1,Entry,High,Urban
301,Region 5,S10,1M,6,6,6,0,0,0,0,Premium,Medium,Suburban
314,Region 3,S05,1M,2,2,3,0,0,1,1,Entry,High,Suburban
343,Region 5,S10,5M,2,1,1,0,0,0,0,Premium,High,Urban
348,Region 2,S04,5M,4,3,3,0,0,0,1,Standard,Medium,Urban
366,Region 3,S06,1M,3,2,2,0,0,0,0,Standard,High,Suburban
407,Region 2,S04,1M,5,3,4,0,0,0,0,High Net Worth,Medium,Urban
424,Region 1,S01,2M,6,5,5,1,0,0,1,High Net Worth,High,Suburban
442,Region 2,S03,2M,3,2,2,0,0,0,0,Premium,Medium,Suburban
455,Region 1,S02,1M,3,1,1,0,0,0,1,Entry,Medium,Urban
458,Region 3,S06,1M,2,1,1,0,0,0,0,Standard,High,Rural
467,Region 4,S08,1M,2,1,2,0,0,0,1,Standard,Low,Suburban
475,Region 2,S04,1M,2,2,2,0,0,0,0,Entry,Medium,Suburban
477,Region 3,S06,1M,2,1,1,0,0,0,1,Entry,Medium,Urban
485,Region 1,S01,5M,4,3,4,0,0,0,0,Entry,Low,Suburban
